"","code","year","speed","SL.TLF.ACTI.FE.ZS_fut","EG.ELC.ACCS.ZS_fut","IT.NET.USER.ZS_fut","SI.SPR.PGAP_fut","IQ.SPI.OVRL_fut","wat_sm_t_fut","wat_imp_prem_t_fut","wat_imp_qual_t_fut","wat_imp_av_t_fut","electricity_fut","ghggdp_fut","lifeexpectancy_fut","gender_fut","education_fut"
"2410","ISR",2026,4,72.98,NA,94.8021884825338,0.88,NA,99.58,NA,99.58,NA,7.9,NA,83.6725824175824,89.7404575163399,13.98
"2411","ISR",2027,0.25,72.735,NA,89.0489047329612,1.175,NA,99.5075,NA,99.5075,NA,7.35,NA,82.8046428571429,87.98,13.54
"2412","ISR",2027,0.5,72.77,NA,89.8424947671654,1.15,NA,99.515,NA,99.515,NA,7.4,NA,82.9021428571429,88.16,13.58
"2413","ISR",2027,1,72.84,NA,91.2742182965263,1.1,NA,99.53,NA,99.53,NA,7.5,NA,83.0971428571429,88.5022222222222,13.66
"2414","ISR",2027,2,72.98,NA,93.5959928307739,1,NA,99.56,NA,99.56,NA,7.7,NA,83.4525824175824,89.1504901960785,13.82
"2415","ISR",2027,4,73.2228571428572,NA,96.5982760870966,0.8,NA,99.62,NA,99.62,NA,8.1,NA,84.0575674325674,90.2789962651728,14.1
"2416","ISR",2028,0.25,72.7525,NA,89.3191941126486,1.17,NA,99.51,NA,99.51,NA,7.3625,NA,82.8371428571429,88.025,13.55
"2417","ISR",2028,0.5,72.805,NA,90.3407302723752,1.14,NA,99.52,NA,99.52,NA,7.425,NA,82.9671428571429,88.2472222222222,13.6
"2418","ISR",2028,1,72.91,NA,92.1226786939305,1.08,NA,99.54,NA,99.54,NA,7.55,NA,83.2173626373626,88.6722222222222,13.7
"2419","ISR",2028,2,73.1028571428572,NA,94.8021884825336,0.96,NA,99.58,NA,99.58,NA,7.8,NA,83.6725824175824,89.4504901960784,13.9
"2420","ISR",2028,4,73.4628571428571,NA,97.777239340526,0.76,NA,99.66,NA,99.66,NA,8.26,NA,84.3719968919969,90.7683042447748,14.1
"2421","ISR",2029,0.25,72.77,NA,89.5841478992928,1.165,NA,99.5125,NA,99.5125,NA,7.375,NA,82.8696428571429,88.07,13.56
"2422","ISR",2029,0.5,72.84,NA,90.8191720423556,1.13,NA,99.525,NA,99.525,NA,7.45,NA,83.0321428571429,88.3322222222222,13.62
"2423","ISR",2029,1,72.98,NA,92.8961791173384,1.06,NA,99.55,NA,99.55,NA,7.6,NA,83.3373626373626,88.8338562091503,13.74
"2424","ISR",2029,2,73.2228571428571,NA,95.7896534835764,0.92,NA,99.6,NA,99.6,NA,7.9,NA,83.8750749250749,89.7404575163399,13.98
"2425","ISR",2029,4,73.7028571428572,NA,98.5591261984447,0.72,NA,99.7,NA,99.7,NA,8.42,NA,84.6302830502831,91.2192788910436,14.1
"2426","ISR",2030,0.25,72.7875,NA,89.8424947671654,1.16,NA,99.515,NA,99.515,NA,7.3875,NA,82.9021428571429,88.115,13.57
"2427","ISR",2030,0.5,72.875,NA,91.2742182965263,1.12,NA,99.53,NA,99.53,NA,7.475,NA,83.0971428571429,88.4172222222222,13.64
"2428","ISR",2030,1,73.0428571428572,NA,93.5959928307739,1.04,NA,99.56,NA,99.56,NA,7.65,NA,83.4525824175824,88.9938562091503,13.78
"2429","ISR",2030,2,73.3428571428572,NA,96.5982760870964,0.88,NA,99.62,NA,99.62,NA,8,NA,84.0575674325674,90.0189962651727,14.06
"2430","ISR",2030,4,73.9428571428572,NA,99.0518598014339,0.68,NA,99.74,NA,99.7,NA,8.58,NA,84.8419025419025,91.626617173676,14.1
"2431","ITA",2025,0.25,57.4,NA,89.4677864312911,1.385,NA,96.82,97.82,96.8125,NA,5.13,NA,83.9225,93.425,10.84
"2432","ITA",2025,0.5,57.4,NA,89.7290644364322,1.37,NA,96.84,97.84,96.825,NA,5.16,NA,83.945,93.45,10.88
"2433","ITA",2025,1,57.4,NA,90.232409877059,1.34,NA,96.88,97.88,96.85,NA,5.22,NA,83.99,93.5,10.96
"2434","ITA",2025,2,57.4,NA,91.1755742959047,1.28666666666667,NA,96.96,97.9525,96.9,NA,5.34,NA,84.08,93.6,11.1175
"2435","ITA",2025,4,57.4,NA,92.8143861657734,1.20666666666666,NA,97.1175,98.0925,97,NA,5.58000000000001,NA,84.2422222222222,93.76,11.3975
"2436","ITA",2026,0.25,57.445,NA,89.7290644364322,1.3775,NA,96.84,97.84,96.825,NA,5.145,NA,83.945,93.4375,10.86
"2437","ITA",2026,0.5,57.49,NA,90.232409877059,1.355,NA,96.88,97.88,96.85,NA,5.19,NA,83.99,93.475,10.92
"2438","ITA",2026,1,57.58,NA,91.1755742959046,1.31,NA,96.96,97.9525,96.9,NA,5.28,NA,84.08,93.55,11.04
"2439","ITA",2026,2,57.76,NA,92.8143861657733,1.24666666666667,NA,97.1175,98.0925,97,NA,5.46000000000001,NA,84.2422222222222,93.68,11.2575
"2440","ITA",2026,4,58.12,NA,95.2656355878278,1.12666666666666,NA,97.3975,98.3478571428572,97.2,NA,5.81999999999999,NA,84.5252380952381,93.92,11.6775
"2441","ITA",2027,0.25,57.49,NA,89.9839222181729,1.37,NA,96.86,97.86,96.8375,NA,5.16,NA,83.9675,93.45,10.88
"2442","ITA",2027,0.5,57.58,NA,90.7154790386577,1.34,NA,96.92,97.9175,96.875,NA,5.22,NA,84.035,93.5,10.96
"2443","ITA",2027,1,57.76,NA,92.0323232449906,1.28666666666667,NA,97.04,98.0225,96.95,NA,5.34,NA,84.1622222222222,93.6,11.1175
"2444","ITA",2027,2,58.12,NA,94.1621323723459,1.20666666666667,NA,97.2575,98.2278571428572,97.1,NA,5.57999999999999,NA,84.3894444444445,93.76,11.3975
"2445","ITA",2027,4,58.8377777777778,NA,96.9089760164198,1.04666666666666,NA,97.6521428571429,98.5732142857143,97.36,NA,6.05999999999999,NA,84.7543650793651,94.06,11.9207142857143
"2446","ITA",2028,0.25,57.535,NA,90.232409877059,1.3625,NA,96.88,97.88,96.85,NA,5.175,NA,83.99,93.4625,10.9
"2447","ITA",2028,0.5,57.67,NA,91.1755742959046,1.325,NA,96.96,97.9525,96.9,NA,5.25,NA,84.08,93.525,11
"2448","ITA",2028,1,57.94,NA,92.8143861657732,1.26666666666667,NA,97.1175,98.0925,97,NA,5.4,NA,84.2422222222222,93.64,11.1875
"2449","ITA",2028,2,58.48,NA,95.2656355878278,1.16666666666667,NA,97.3975,98.3478571428572,97.2,NA,5.7,NA,84.5252380952381,93.84,11.5375
"2450","ITA",2028,4,59.5177777777777,NA,97.9791670647975,0.966666666666661,NA,97.8921428571429,98.7732142857143,97.52,NA,6.28333333333335,NA,84.9434920634921,94.18,12.1607142857143
